sp_name,length,url,field_name,area_name,executor_name,overload_name,sp_city_name,active,coordinates,hzz
Pravo,5,www.pravst.hr/program.php?p=11,Pravo,Društvene znanosti,Pravni fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4438201,43.513997","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Arheologija,3,www.unizd.hr/arheologija/Studijskiprogrami/Preddiplomski/tabid/218/Default.aspx,Arheologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Sociologija,2,www.ffst.hr/studiji/sociologija,Sociologija,Društvene znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Povijest,2,www.unicath.hr/povijest/diplomski-studij,Povijest,Humanističke znanosti,Hrvatsko katoličko sveučilište,Hrvatsko katoličko sveučilište,Zagreb,1,"15.944348,45.813942","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Kontroling,1,www.efzg.unizg.hr/default.aspx?id=12927,Ekonomija,Društvene znanosti,Ekonomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.011736,45.816088","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,2,econ.zsem.hr,Ekonomija,Društvene znanosti,Zagrebačka škola ekonomije i managementa,Zagrebačka škola ekonomije i managementa,Zagreb,1,"15.9985587,45.8272746","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Športsko pravo,2,www.pravst.hr/program.php?p=13&s=51,Pravo,Društvene znanosti,Pravni fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4438201,43.513997","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Arhitektura,3,www.gradst.hr/Studiji/Arhitektura/Preddiplomskisveučilišnistudij/tabid/791/Default.aspx,Arhitektura i urbanizam,Tehničke znanosti,"Fakultet građevinarstva, arhitekture i geodezije Sveučilišta u Splitu",Sveučilište u Splitu,Split,1,"16.441861,43.512161",Stručnjaci iz područja informatike i tehničkih znanosti
Humanističke znanosti,3,www.ffst.hr/studiji/poslijediplomski,Interdisciplinarne humanističke znanosti,Humanističke znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Arhitektura i urbanizam,3,www.arhitekt.unizg.hr/nastava/DocLib/Nastava_pred.aspx,Arhitektura i urbanizam,Tehničke znanosti,Arhitektonski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9633996,45.8083975",Stručnjaci iz područja informatike i tehničkih znanosti
Zaštita i oporaba materijala,3,www.ktf.unist.hr/index.php/ss-2/zastita-i-oporaba-materijala,Bez polja,Bez područja,Kemijsko-tehnološki fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161",""
Biljne znanosti,3,www.agr.unizg.hr/hr/article/8/biljne_znanosti,Poljoprivreda (agronomija),Biotehničke znanosti,Agronomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.029817,45.8282075","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija,3,biologija.unios.hr/webbio/studiji,Biologija,Prirodne znanosti,Odjel za biologiju Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6959121,45.560972","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija,3,www.pmf.unizg.hr/biol/preddiplomski_studij,Biologija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9698015,45.81057029999999","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija i kemija,3,www.pmfst.hr/index.php?option=com_2j_tabs&Itemid=324,Biologija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biotehnologija,3,www.pbf.unizg.hr/hr/studij/preddiplomski_studij_bolonjski_proces/biotehnologija,Biotehnologija,Biotehničke znanosti,Prehrambeno-biotehnološki fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9641624,45.807354","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Animirani film i novi mediji,3,www.alu.unizg.hr/alu/cms/front_content.php?idcat=67&lang=1,Likovne umjetnosti,Umjetničko područje,Akademija likovnih umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9614183,45.8125577","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Antropologija,3,www.ffzg.unizg.hr/antropologija/,Etnologija i antropologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9695033,45.7968407","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Brodogradnja,3,www.riteh.uniri.hr/nast/novi_progr/sv_br_p/,Brodogradnja,Tehničke znanosti,Tehnički fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4258374,45.3375315",Stručnjaci iz područja informatike i tehničkih znanosti
Brodogradnja,3,www.fesb.hr/studiji/brodogradnja,Brodogradnja,Tehničke znanosti,"Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu",Sveučilište u Splitu,Split,1,"16.469189,43.511287",Stručnjaci iz područja informatike i tehničkih znanosti
Brodogradnja,3.5,www.fsb.hr/?studijski_programi,Brodogradnja,Tehničke znanosti,Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.971241,45.795332",Stručnjaci iz područja informatike i tehničkih znanosti
Brodostrojarstvo,3,www.unidu.hr/odjeli.php?idizbornik=130,Tehnologija prometa i transport,Tehničke znanosti,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,Dubrovnik,1,"18.1003189,42.6440794",Stručnjaci iz područja informatike i tehničkih znanosti
Brodostrojarstvo,3,www.pfri.uniri.hr/index.php?option=com_content&view=article&id=87&Itemid=155&lang=hr,Tehnologija prometa i transport,Tehničke znanosti,Pomorski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4361747,45.3303549",Stručnjaci iz područja informatike i tehničkih znanosti
Brodostrojarstvo i tehnologija pomorskog prometa,3,www.unizd.hr/promet-pomorstvo/Studijskiprogrami/Preddiplomski/Brodostrojarstvoitehnologijapomorskogprometa/Novi/tabid/5637/Default.aspx,Tehnologija prometa i transport,Tehničke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964",Stručnjaci iz područja informatike i tehničkih znanosti
Crkvena glazba (Institut za crkvenu glazbu A. Vidaković),4,www.kbf.unizg.hr/studiji/studij_crkvene_glazbe/,Glazbena umjetnost,Umjetničko područje,Katolički bogoslovni fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9823032,45.8137305","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Studij za instrumentaliste; smjer: Flauta, Oboa, Klarinet, Saksofon, Fagot, Rog, Truba, Trombon, Tuba, Udaraljke, Harfa, Violina, Viola, Violončelo Kontrabas, Gitara, Klavir, Orgulje, Čembalo",5,www.muza.unizg.hr/index.php?option=com_content&view=article&id=109&Itemid=220,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Dirigiranje; smjer: Dirigiranje, Zborsko dirigiranje",5,www.muza.unizg.hr/index.php?option=com_content&view=article&id=107&Itemid=98,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Dizajn,3,www.studijdizajna.com,Likovne umjetnosti,Umjetničko područje,Arhitektonski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9633996,45.8083975","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Dizajn vizualnih komunikacija,3,www.umas.hr/odjeli/likovna-umjetnost/dizajn-vizualnih-komunikacija/,Likovne umjetnosti,Umjetničko područje,Umjetnička akademija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4473299,43.5085094","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Dramaturgija,3,www.adu.unizg.hr/index.php?option=com_content&view=article&id=341:preddiplomski-ba-studij-dramaturgije&catid=40:pregled&Itemid=75,Kazališna umjetnost,Umjetničko područje,Akademija dramske umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9701206,45.808606","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Drvna tehnologija,3,www.sumfak.unizg.hr/StudijPojedinacno.aspx?mhID=2&mvID=42,Drvna tehnologija,Biotehničke znanosti,Šumarski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.0297253,45.82533979999999",Stručnjaci iz područja informatike i tehničkih znanosti
Ekoinženjerstvo,3,www.fkit.unizg.hr/preddiplomski/ekoinzenjerstvo,Kemijsko inženjerstvo,Tehničke znanosti,Fakultet kemijskog inženjerstva i tehnologije Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9705752,45.80726819999999","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Češki jezik i književnost,3,www.ffzg.unizg.hr/zslav/,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9695033,45.7968407","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,3,oet.unipu.hr/index.php?id=1373,Ekonomija,Društvene znanosti,Sveučilište Jurja Dobrile u Puli,Sveučilište Jurja Dobrile u Puli,Pula,1,"13.8512586,44.8664084","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,3,www.unidu.hr/ekonomija/126.htm,Ekonomija,Društvene znanosti,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,Dubrovnik,1,"18.1003189,42.6440794","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,3,www.efri.uniri.hr/hr/study/ekonomija,Ekonomija,Društvene znanosti,Ekonomski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4347475,45.33155530000001","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,3,www.efst.hr/content.php?k=studiji&p=72,Ekonomija,Društvene znanosti,Ekonomski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Ekonomija,4,www.efzg.unizg.hr/default.aspx?id=5268,Ekonomija,Društvene znanosti,Ekonomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,0,"16.011736,45.816088","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Elektroničke i informatičke tehnologije u pomorstvu,3,www.pfri.uniri.hr/index.php?option=com_content&view=article&id=88&Itemid=156&lang=hr,Tehnologija prometa i transport,Tehničke znanosti,Pomorski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4361747,45.3303549",Stručnjaci iz područja informatike i tehničkih znanosti
Elektrotehničke i komunikacijske tehnologije u pomorstvu,3,www.unidu.hr/odjeli.php?idizbornik=128,Elektrotehnika,Tehničke znanosti,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,Dubrovnik,1,"18.1003189,42.6440794",Stručnjaci iz područja informatike i tehničkih znanosti
Elektrotehnika,3,www.etfos.unios.hr/studiji/sveucilisni-preddiplomski-studij/opis-i-program-studija#anc,Elektrotehnika,Tehničke znanosti,Elektrotehnički fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.695619,45.556784",Stručnjaci iz područja informatike i tehničkih znanosti
Elektrotehnika,3,www.riteh.uniri.hr/nast/novi_progr/sv_el_p/,Elektrotehnika,Tehničke znanosti,Tehnički fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4258374,45.3375315",Stručnjaci iz područja informatike i tehničkih znanosti
Elektrotehnika i informacijska tehnologija,3,www.fesb.hr/studiji/elektrotehnika/preddiplomski,Elektrotehnika,Tehničke znanosti,"Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu",Sveučilište u Splitu,Split,1,"16.469189,43.511287",Stručnjaci iz područja informatike i tehničkih znanosti
Fizika,3,www.pmfst.hr/index.php?option=com_2j_tabs&Itemid=325,Fizika,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Elektrotehnika i informacijska tehnologija,3,www.fer.unizg.hr/oferu/preddiplomski,Elektrotehnika,Tehničke znanosti,Fakultet elektrotehnike i računarstva Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9712039,45.800887",Stručnjaci iz područja informatike i tehničkih znanosti
Engleski jezik i književnost,3,web.ffos.hr/?id=34,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6808884,45.558785","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Engleski jezik i književnost,3,www.ffst.hr/studiji/preddiplomski/engleski_jezik_i_knjizevnost,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Anglistika,3,www.unizd.hr/engleski/Studijskiprogrami/Preddiplomski/tabid/2028/Default.aspx,Filologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Etnologija i antropologija,3,www.unizd.hr/etnologijaiantropologija/Studijskiprogrami/tabid/1777/Default.aspx,Etnologija i antropologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Engleski jezik i književnost,3,www.ffri.uniri.hr/hr/fakultet-i-studiji/studijski-programi/2-uncategorised/233-preddipleng.html,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.465716,45.328155","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Film i video,3,www.umas.hr/odjeli/likovna-umjetnost/film-i-video/,Filmska umjetnost,Umjetničko područje,Umjetnička akademija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4473299,43.5085094","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filmska i TV režija,3,www.adu.unizg.hr/index.php?option=com_content&view=article&id=338:studij-filmske-i-televizijske-reije-ba-i-ma&catid=40:pregled&Itemid=75,Filmska umjetnost,Umjetničko područje,Akademija dramske umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9701206,45.808606","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filozofija,3,www.ffst.hr/studiji/preddiplomski/filozofija,Filozofija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filozofija,3,www.unizd.hr/filozofija/Studijskiprogrami/tabid/1323/Default.aspx,Filozofija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Inženjerstvo okoliša,3,www.geof.unizg.hr/course/index.php?categoryid=10,Interdisciplinarne tehničke znanosti,Tehničke znanosti,Geotehnički fakultet u Varaždinu Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Varaždin,1,"15.961981,45.797253",Stručnjaci iz područja informatike i tehničkih znanosti
Filozofija,3,www.ffdi.hr/index.php/studiji/preddiplomski-studij.html,Filozofija,Humanističke znanosti,Filozofski fakultet Družbe Isusove,Sveučilište u Zagrebu,Zagreb,1,"15.9976772,45.82781300000001","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filozofija i latinski jezik,3,www.ffdi.hr/index.php/studiji/preddiplomski-studij.html,Filozofija,Humanističke znanosti,Filozofski fakultet Družbe Isusove,Sveučilište u Zagrebu,Zagreb,1,"15.9976772,45.82781300000001","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Fizika,3,www.fizika.unios.hr/cms/fizos/hr/nastava/izvedbeni/plan_program/2014_2015/preddiplomski.html,Fizika,Prirodne znanosti,Odjel za fiziku Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.684096,45.55727299999999","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Fizika,3,www.phy.uniri.hr/hr/nastava/preddiplomski-studij.html,Fizika,Prirodne znanosti,Odjel za fiziku Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4667629,45.3277614","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Fizika i informatika,3,www.pmfst.hr/index.php?option=com_2j_tabs&Itemid=326,Fizika,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Fizioterapija,3,ozs.unist.hr/studijski-programi/preddiplomski-programi/fizioterapija,Kliničke medicinske znanosti,Biomedicina i zdravstvo,Sveučilišni odjel zdravstvenih studija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Francuski jezik i književnost,3,www.unizd.hr/francuski/Odsjeci/Odsjekzafrancuskijezikiknjiževnost/Studiji/tabid/1932/Default.aspx,Filologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Filozofija,3,www.hrstud.unizg.hr/preddiplomski/dvopredmetni/filozofija,Filozofija,Humanističke znanosti,Hrvatski studiji Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.0202383,45.8097587","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Geodezija i geoinformatika,3,www.geof.unizg.hr/course/index.php?categoryid=10,Geodezija,Tehničke znanosti,Geodetski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9636355,45.8086405",Stručnjaci iz područja informatike i tehničkih znanosti
Geografija ; smjer: nastavnički,3,www.unizd.hr/geografija/Studijskiprogrami/tabid/422/Default.aspx,Geografija,Prirodne znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Primijenjena gorgrafija,3,www.unizd.hr/geografija/Studijskiprogrami/tabid/422/Default.aspx,Geografija,Prirodne znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Geografija; smjer: istraživački,3,www.pmf.unizg.hr/geog,Geografija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9698015,45.81057029999999","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Geologija,3,www.pmf.unizg.hr/geol,Geologija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9698015,45.81057029999999","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Geološko inženjerstvo,3,www.rgn.hr/hr/studiji/preddiplomski-studij/geolosko-inzenjerstvo,"Rudarstvo, nafta i geološko inženjerstvo",Tehničke znanosti,Rudarsko-geološko-naftni fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9640682,45.8069429",Stručnjaci iz područja informatike i tehničkih znanosti
Gitara,4,www.umas.hr/odjeli/glazbena-umjetnost/gudacki-instrumenti-i-gitara/gitara/,Glazbena umjetnost,Umjetničko područje,Umjetnička akademija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4473299,43.5085094","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Glasovir,4,www.umas.hr/odjeli/glazbena-umjetnost/klavir/,Glazbena umjetnost,Umjetničko područje,Umjetnička akademija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4473299,43.5085094","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Glazbena pedagogija,4,www.uaos.unios.hr/index.php?option=com_content&view=article&id=2075&Itemid=515&lang=hr,Glazbena umjetnost,Umjetničko područje,Umjetnička akademija Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.705481,45.55734400000001","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Glazbena pedagogija,4,www.unipu.hr/index.php?id=1751,Glazbena umjetnost,Umjetničko područje,Sveučilište Jurja Dobrile u Puli,Sveučilište Jurja Dobrile u Puli,Pula,1,"13.8512586,44.8664084","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Glazbena pedagogija,4,www.umas.hr/odjeli/glazbena-umjetnost/glazbena-pedagogija/,Glazbena umjetnost,Umjetničko područje,Umjetnička akademija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4473299,43.5085094","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Glazbena pedagogija,5,www.muza.unizg.hr/index.php?option=com_content&view=article&id=112&Itemid=223,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Glazbena pedagogija,5,www.muza.unizg.hr/index.php?option=com_content&view=article&id=112&Itemid=223,Glazbena umjetnost,Umjetničko područje,Muzička akademija Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9686544,45.810104","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Glazbena teorija,4,www.umas.hr/odjeli/glazbena-umjetnost/kompozicija-i-glazbena-teorija/glazbena-teorija/,Glazbena umjetnost,Umjetničko područje,Umjetnička akademija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4473299,43.5085094","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Gluma,3,www.adu.unizg.hr/index.php?option=com_content&view=article&id=336:studij-glume-ba-i-ma&catid=40:pregled&Itemid=75,Kazališna umjetnost,Umjetničko područje,Akademija dramske umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9701206,45.808606","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Sestrinstvo,3,(null),Kliničke medicinske znanosti,Biomedicina i zdravstvo,Medicinski fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Nova Gradiška,1,"18.714823,45.558903","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Građevinarstvo,3,www.gradri.uniri.hr/hr/studiji/sveucilisni-preddiplomski.html,Građevinarstvo,Tehničke znanosti,Građevinski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.4677871,45.3287901",Stručnjaci iz područja informatike i tehničkih znanosti
Građevinarstvo,3,www.gradst.hr/Studiji/Građevinarstvo/Preddiplomskisveučilišnistudijgrađevinarstva/tabid/786/Default.aspx,Građevinarstvo,Tehničke znanosti,"Fakultet građevinarstva, arhitekture i geodezije Sveučilišta u Splitu",Sveučilište u Splitu,Split,1,"16.441861,43.512161",Stručnjaci iz područja informatike i tehničkih znanosti
Građevinarstvo,3,www.grad.unizg.hr/programi/preddiplomski_sveucilisni_studij_gradevinarstva,Građevinarstvo,Tehničke znanosti,Građevinski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9633996,45.8083975",Stručnjaci iz područja informatike i tehničkih znanosti
"Grafička tehnologija; smjerovi: Tehničko tehnološki, Dizajn grafičkih proizvoda",3,www.grf.unizg.hr/preddiplomski-studij/,Grafička tehnologija,Tehničke znanosti,Grafički fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.0297139,45.8058294",Stručnjaci iz područja informatike i tehničkih znanosti
Hrvatski jezik i književnost,3,www.ffri.uniri.hr/hr/fakultet-i-studiji/studijski-programi/2-uncategorised/235-preddiplhjkdp.html,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Rijeci,Sveučilište u Rijeci,Rijeka,1,"14.465716,45.328155","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Grčki jezik i književnost,3,www.unizd.hr/klasicnafilologija/Studijskiprogrami/Grčkijezikiknjiževnost/tabid/481/Default.aspx,Filologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Gudački instrumenti; smjerovi: Violina, Viola, Violončelo",4,www.umas.hr/odjeli/glazbena-umjetnost/gudacki-instrumenti-i-gitara/viola/,Glazbena umjetnost,Umjetničko područje,Umjetnička akademija Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4473299,43.5085094","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Hortikultura,3,www.agr.unizg.hr/hr/article/560/hortikultura,Poljoprivreda (agronomija),Biotehničke znanosti,Agronomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.029817,45.8282075","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Hrvatski jezik i književnost,3,www.unizd.hr/kroatistika-slavistika/Studijskiprogram/tabid/522/Default.aspx,Filologija,Humanističke znanosti,Sveučilište u Zadru,Sveučilište u Zadru,Zadar,1,"15.2268558,44.1112964","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Povijest,3,web.ffos.hr/?id=34,Povijest,Humanističke znanosti,Filozofski fakultet Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6808884,45.558785","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Hrvatski jezik i književnost,3,www.unipu.hr/index.php?id=189,Filologija,Humanističke znanosti,Sveučilište Jurja Dobrile u Puli,Sveučilište Jurja Dobrile u Puli,Pula,1,"13.8512586,44.8664084","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Hrvatski jezik i književnost,3,www.ffst.hr/studiji/preddiplomski/hrvatski_jezik_i_knjizevnost,Filologija,Humanističke znanosti,Filozofski fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.4330741,43.5148935","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
