sp_name,length,url,field_name,area_name,executor_name,overload_name,sp_city_name,active,coordinates,hzz
Arhitektura,2,www.gradst.hr/Studiji/Arhitektura/DiplomskisveučilišnistudijArhitektura/tabid/792/Default.aspx,Arhitektura i urbanizam,Tehničke znanosti,"Fakultet građevinarstva, arhitekture i geodezije Sveučilišta u Splitu",Sveučilište u Splitu,Split,1,"16.441861,43.512161",Stručnjaci iz područja informatike i tehničkih znanosti
Arhitektura i urbanizam,2,www.arhitekt.hr/nastava/DocLib/Nastava_dipl.aspx,Arhitektura i urbanizam,Tehničke znanosti,Arhitektonski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9633996,45.8083975",Stručnjaci iz područja informatike i tehničkih znanosti
Automatika i sustavi,2,raspored.fesb.hr/raspored/studiji,Elektrotehnika,Tehničke znanosti,"Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu",Sveučilište u Splitu,Split,1,"16.469189,43.511287",Stručnjaci iz područja informatike i tehničkih znanosti
Sociologija,2,www.unicath.hr/sociologija/diplomski-studij,Sociologija,Društvene znanosti,Hrvatsko katoličko sveučilište,Hrvatsko katoličko sveučilište,Zagreb,1,"15.944348,45.813942","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
"Animirani film i novi mediji; smjerovi: Animirani film, Novi mediji",2,www.alu.unizg.hr/alu/cms/front_content.php?idcat=76&lang=1,Likovne umjetnosti,Umjetničko područje,Akademija likovnih umjetnosti Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"15.9614183,45.8125577","Stručnjaci iz društvenog, humanističkog i umjetničkog područja"
Biljne znanosti,2,www.agr.unizg.hr/hr/ects/biljne_znanosti/16/11,Poljoprivreda (agronomija),Biotehničke znanosti,Agronomski fakultet Sveučilišta u Zagrebu,Sveučilište u Zagrebu,Zagreb,1,"16.029817,45.8282075","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija i ekologija mora,2,more.unist.hr/Upisi/Diplomskistudij/Uvjetiupisairokovi/tabid/626/Default.aspx,Biologija,Prirodne znanosti,Sveučilišni odjel za studije mora Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija i kemija; smjer: nastavnički,2,biologija.unios.hr/webbio/studiji,Biologija,Prirodne znanosti,Odjel za biologiju Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6959121,45.560972","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija i kemija; smjer: nastavnički,2,www.pmfst.hr/index.php?option=com_2j_tabs&Itemid=334,Biologija,Prirodne znanosti,Prirodoslovno-matematički fakultet Sveučilišta u Splitu,Sveučilište u Splitu,Split,1,"16.441861,43.512161","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
Biologija; smjer: znanstveni,2,biologija.unios.hr/webbio/studiji,Biologija,Prirodne znanosti,Odjel za biologiju Sveučilišta u Osijeku,Sveučilište Josipa Jurja Strossmayera u Osijeku,Osijek,1,"18.6959121,45.560972","Zdravstveni, prirodoslovni i biotehnički stručnjaci"
